No,Item,Image,Description,Categories,Price,Resto Name,City,Kecamatan,Location
1,Udang Kungpao,https://www.dinneratthezoo.com/wp-content/uploads/2016/09/kung-pao-shrimp-1-500x500.jpg,"Udang Kung Pao adalah hidangan khas Tiongkok yang dibuat dari udang yang dimasak dengan saus pedas-manis khas, kacang tanah, cabai kering, dan sayuran seperti paprika serta daun bawang.",Makanan Laut,178000,Paradise Dynasty,Jakarta Selatan,Kebayoran Lama,"Pondok Indah Mall 3, Jl. Sultan Iskandar Muda No.28E 3rd Floor, Unit 311A-311B, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310"
2,Otak-Otak,https://asset.kompas.com/crops/N7iOcEhe_cB5S_FfPqGC-Nit6ZQ=/0x0:1000x667/750x500/data/photo/2020/09/06/5f5452396aea3.jpg,"Campuran ikan giling dan tepung tapioka. Adonan ini dibumbui dengan rempah-rempah seperti bawang putih, daun bawang, dan santan, lalu dibungkus dengan daun pisang dan dipanggang hingga matang. Otak-otak biasanya disajikan dengan saus kacang pedas atau sambal sebagai pelengkap.",Makanan Laut,52000,Sulawesi,Jakarta Selatan,Kebayoran Baru,"Jalan Panglima Polim IX No.19 Melawai, Kebayoran Baru Jakarta Selatan, Jl. Panglima Polim IX No.19, RT.7/RW.6, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160"
3,Ikan Dabu Dabu,https://i.pinimg.com/736x/d9/51/9d/d9519d957c0bf7bfc0f3836dfba12205.jpg,"kan dabu-dabu adalah hidangan khas Manado, Sulawesi Utara, yang menggunakan ikan bakar atau ikan goreng sebagai bahan utamanya, disajikan dengan sambal dabu-dabu. Sambal dabu-dabu adalah sambal segar yang terdiri dari potongan cabai rawit, bawang merah, tomat, perasan jeruk nipis, dan sedikit garam serta minyak panas. Kombinasi sambal segar ini memberikan rasa pedas, asam, dan segar, yang melengkapi cita rasa gurih dari ikan yang dimasak.",Makanan Laut,38000,Sari Indah,Jakarta Selatan,Kebayoran Baru,"Jl. Wolter Monginsidi No.7 5, RT.5/RW.2, Selong, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170"
4,Pan Fried Salmon,"https://cdn.apartmenttherapy.info/image/upload/f_auto,q_auto:eco,c_fill,g_auto,w_1500,ar_3:2/k%2FPhoto%2FSeries%2F2019-09-snapshot-cooking-garlic-butter%2F2019-09-04_Kitchn83910_","Salmon yang dimasak dengan cara digoreng di atas wajan datar menggunakan sedikit minyak atau mentega. Proses ini menghasilkan bagian luar salmon yang renyah dan kecokelatan, sementara bagian dalamnya tetap lembut dan juicy. Biasanya, salmon diberi bumbu sederhana seperti garam, lada, dan mungkin sedikit perasan lemon untuk menambah cita rasa segar.",Makanan Laut,185000,Lewis n Carol,Jakarta Selatan,Kebayoran Baru,"Jl. Bumi No.4 2, RT.2/RW.3, Gunung, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12120"
5,Cakalang Garo Rica,https://paxelmarket.co/wp-content/uploads/2022/05/Cakalang-Garo-Rica-4.jpg,"Cakalang garo rica adalah hidangan pedas khas Manado, Sulawesi Utara, yang menggunakan ikan cakalang sebagai bahan utamanya. Ikan cakalang yang telah dimasak suwir-suwir dan kemudian ditumis dengan bumbu rica, yaitu campuran cabai, bawang merah, bawang putih, jahe, serai, dan daun jeruk, yang memberikan aroma segar dan rasa pedas khas. Hidangan ini sering disajikan dengan nasi putih hangat dan merupakan favorit bagi pencinta makanan pedas.",Makanan Laut,72000,Beautika,Jakarta Selatan,Kebayoran Baru,"Jl. Hang Lekir No.1 4, RT.4/RW.6, Gunung, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12220"
6,Kepiting Lada Hitam,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Black_Peppered_Crab_%286895480431%29.jpg/440px-Black_Peppered_Crab_%286895480431%29.jpg,Hidangan populer di Singapura yang memadukan rasa kepiting dimasak dengan lada hitam.,Makanan Laut,59000,Penang Bistro,Jakarta Selatan,Kebayoran Baru,"Jl. Pakubuwono VI No.2 5, RT.5/RW.6, Gunung, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12120"
7,Gulai Kepala Kakap,https://www.unileverfoodsolutions.co.id/dam/global-ufs/mcos/SEA/calcmenu/recipes/ID-recipes/fish-&-other-seafood-dishes/gulai-kepala-ikan-kakap/main-header.jpg,"Kepala ikan kakap berkuah santan yang warnanya antara kuning, oranye, dan kemerahan.",Makanan Laut,87000,Sari Indah,Jakarta Selatan,Kebayoran Baru,"Jl. Wolter Monginsidi No.7 5, RT.5/RW.2, Selong, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170"
8,Kerapu Bakar,https://cdn0-production-images-kly.akamaized.net/yeq69ibnDz8zbZ-f6TRsnpwGJJs=/0x33:999x596/1200x675/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/4294511/original/030917800_1674018213-shutterstock_1326431222.jpg,Ikan kerapu yang diolah dengan cara dibakar lalu dibumbui dengan rasa pedas manis dan bumbunya begitu meresap hingga ke dalam dengan sempurna.,Makanan Laut,264000,Sulawesi,Jakarta Selatan,Kebayoran Baru,"Jalan Panglima Polim IX No.19 Melawai, Kebayoran Baru Jakarta Selatan, Jl. Panglima Polim IX No.19, RT.7/RW.6, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160"
9,Cumi Lada Garam,https://cdn0-production-images-kly.akamaized.net/wWaro6kXsnBh9Z0-vI75iYC75uE=/0x86:999x649/469x260/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3507713/original/042701800_1626061353-shutterstock_1011973252.jpg,"Cumi-cumi goreng tepung yang diberi bumbu sederhana namun kuat, seperti lada dan garam. Cumi-cumi biasanya dipotong cincin, dilapisi tepung tipis, dan digoreng hingga renyah. Setelah digoreng, cumi-cumi dicampur dengan bawang putih cincang, daun bawang, dan taburan lada hitam atau putih yang melimpah untuk memberikan cita rasa gurih dan pedas.",Makanan Laut,80000,Din Tai Fung,Jakarta Selatan,Kebayoran Lama,"Pondok Indah Mall 2, Jl. Metro Pondok Indah No.1 Lantai 3, RT.1/RW.16, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310"
10,Tim Ikan,https://ayo-ma.com/wp-content/uploads/2023/03/ikan-tim-HK.jpeg,"Tim ikan dengan zaitun adalah masakan ikan berdaging putih, seperti kakap atau kerapu, yang dimasak dengan cara dikukus. Hidangan ini dilengkapi dengan buah zaitun, tomat, bawang putih, bawang bombay, dan aneka rempah. Rasa asin dan asam khas dari zaitun berpadu dengan gurihnya ikan yang lembut. Metode memasak dengan dikukus membantu menjaga kelembutan ikan sekaligus menonjolkan rasa alami dari setiap bahan.",Makanan Laut,139000,Din Tai Fung,Jakarta Selatan,Kebayoran Lama,"Pondok Indah Mall 2, Jl. Metro Pondok Indah No.1 Lantai 3, RT.1/RW.16, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310"
11,Udang Goreng Mayonaise,https://www.ruparupa.com/blog/wp-content/uploads/2022/02/udang-goreng-tepung-mayonaise.jpeg,"Udang yang digoreng renyah kemudian disajikan dengan saus mayones yang creamy dan sedikit manis, sering ditambah madu atau susu kental manis untuk rasa yang lezat dan gurih.",Makanan Laut,75000,Din Tai Fung,Jakarta Selatan,Kebayoran Lama,"Pondok Indah Mall 2, Jl. Metro Pondok Indah No.1 Lantai 3, RT.1/RW.16, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310"
